date,symbol,open,high,low,close,volume,amount,pre_close
2025-08-01,SHSE.600000,12.82,12.98,12.58,12.92,79386102,1018578952.15,12.81
2025-08-01,SZSE.000001,12.24,12.33,12.15,12.28,101218698,1240239179.62,12.23
2025-08-04,SHSE.600000,12.9,13.45,12.9,13.13,99782728,1321632122.73,12.92
2025-08-04,SZSE.000001,12.24,12.38,12.21,12.3,103268969,1271376406.58,12.28
2025-08-05,SHSE.600000,13.15,13.78,13.14,13.75,133646594,1812399937.53,13.13
2025-08-05,SZSE.000001,12.3,12.5,12.28,12.47,113207820,1405152349.43,12.3

